Time,VUs   - sdkFxSendE2E 2025-10-13 13:43,Latency(p99)  - sdkFxSendE2E 2025-10-13 13:43,Throughput - sdkFxSendE2E 2025-10-13 13:43,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760363870000,10,8.7426631386,1.4983518130056939,undefined,undefined,undefined,
1760363875000,10,8.739731217600001,1.4812071838548417,undefined,undefined,undefined,
1760363875694,,,,,,,moja-centralledger-handler-timeout-dc6745f4-j2dzn killed
1760363880000,10,8.737972064999996,1.430743092193508,undefined,undefined,undefined,
1760363885000,10,8.7356265282,1.5242242787152969,undefined,undefined,undefined,
1760363890000,10,8.7335741835,1.652892561983471,undefined,undefined,undefined,
1760363895000,10,8.730642262499998,1.5986458529245815,undefined,undefined,undefined,
1760363900000,10,8.729176301999997,1.3717421124828533,undefined,undefined,undefined,
1760363905000,10,8.7271239573,1.263956182852328,undefined,undefined,undefined,
1760363910000,10,8.724485228400003,1.596965765046412,undefined,undefined,undefined,
1760363915000,10,8.722726075799997,1.5592515592515594,undefined,undefined,undefined,
1760363920000,10,8.72011273212,1.629327902240326,undefined,undefined,undefined,
1760363925000,10,8.718907601160002,1.7249205628688151,undefined,0.001024834520988523,undefined,
1760363930000,10,8.71823808396,1.5541740674955595,undefined,0.0010464572661921616,undefined,
1760363935000,10,8.717032953,1.403227423073068,undefined,undefined,undefined,
1760363940000,10,8.715827822040001,1.6474464579901154,undefined,undefined,undefined,
1760363945000,10,8.714756594519999,1.7071701144808193,undefined,undefined,undefined,
1760363950000,10,8.71408707732,1.33923972391058,undefined,undefined,undefined,
1760363955000,10,8.712881946360001,1.6391523240838308,undefined,undefined,undefined,
1760363960000,10,8.711810718839999,1.762388554841385,undefined,undefined,undefined,
1760363965000,10,8.71060558788,1.4762070163251129,undefined,undefined,undefined,
1760363970000,10,8.7096682638,1.523664412913056,undefined,undefined,undefined,
1760363975000,10,8.708597036279999,1.5180649731808522,undefined,undefined,undefined,
1760363980000,10,8.707391905320002,1.6776867660120403,undefined,undefined,undefined,
1760363985000,10,8.7067903422,1.6471072678608192,undefined,undefined,undefined,
1760363990000,10,8.706390636599998,1.6097875080489377,undefined,undefined,undefined,
1760363995000,10,8.7058910046,1.836172600224421,undefined,undefined,undefined,
1760363997101,,,,,,,moja-ml-api-adapter-service-df9c7d866-65h5b killed
1760364000000,10,8.7055412622,1.629757453743649,undefined,undefined,undefined,
1760364005000,10,8.7051915198,1.425952332450601,undefined,undefined,undefined,
1760364010000,10,8.7048917406,1.4420410427066,undefined,undefined,undefined,
1760364015000,10,8.704492035,1.343827990017278,undefined,undefined,undefined,
