Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760375595000,10,undefined,8.95095774792,1.5547565834224077,undefined,undefined,undefined,undefined,undefined,
1760375600000,10,undefined,8.945127340559997,1.6191054442420563,undefined,undefined,undefined,undefined,undefined,
1760375605000,10,undefined,8.94148333596,1.40875596012137,undefined,undefined,undefined,undefined,undefined,
1760375610000,10,undefined,8.934924127679997,1.4572707400853544,undefined,undefined,undefined,undefined,undefined,
1760375615000,10,undefined,8.928364919400003,1.668520578420467,undefined,undefined,undefined,undefined,undefined,
1760375620000,10,undefined,8.92326331296,1.7148981779206858,undefined,undefined,undefined,undefined,undefined,
1760375625000,10,undefined,8.916704104679997,1.6401845207585852,undefined,undefined,undefined,undefined,undefined,
1760375630000,10,undefined,8.912331299160002,1.3014055179593962,undefined,undefined,undefined,undefined,undefined,
1760375635000,10,undefined,8.907229692719996,1.2794016336974707,undefined,undefined,undefined,undefined,undefined,
1760375640000,10,undefined,8.900670484439996,1.5579963789981897,undefined,undefined,undefined,undefined,undefined,
1760375644103,,,,,,,,,,mojaloop-redis-follower-1 killed
1760375645000,10,undefined,8.89538617162,1.795511221945137,undefined,undefined,undefined,undefined,undefined,
1760375650000,10,undefined,8.89492940567,1.2534694242994002,undefined,undefined,undefined,undefined,undefined,
1760375655000,10,undefined,8.894107226960001,1.4147130153597411,undefined,undefined,undefined,undefined,undefined,
1760375660000,10,undefined,8.89328504825,1.7147756501857674,undefined,undefined,undefined,undefined,undefined,
1760375665000,10,undefined,8.892554222729999,1.7278178676694784,undefined,undefined,undefined,undefined,undefined,
1760375670000,10,undefined,8.891823397209999,1.6179593487713622,undefined,undefined,undefined,undefined,undefined,
1760375675000,10,undefined,8.890635805739999,1.7224409448818898,undefined,undefined,undefined,undefined,undefined,
1760375680000,10,undefined,8.890635805739999,1.2812394947894157,undefined,undefined,undefined,undefined,undefined,
1760375685000,10,undefined,8.889722273839999,1.7302909051584299,undefined,undefined,undefined,undefined,undefined,
1760375690000,10,undefined,8.88853468237,1.0969730353583045,undefined,undefined,undefined,undefined,undefined,
1760375695000,10,undefined,8.88853468237,1.3639702024971148,undefined,undefined,undefined,undefined,undefined,
